CAS_Number,SMILES,pLD50,"LD50,mg/kg"
1522-88-9,ICC(CI)(CI)CI,3.2605,315.97
24269-56-5,CCOC(=O)N1CCN(CCN2CCCC2)CC1,3.261,139.908
19971-10-9,O=C(O)c1cccc2c1sc1ccccc12,3.2615,124.865
63446-01-5,CCN(CC)CCOC(=O)c1oc2c(OC)c(OC)c(OC)cc2c1C,3.2618,199.867
23092-70-8,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,3.2626,155.772
94733-92-3,COCCCn1c(=O)n(C)c(=O)c2[nH]cnc21,3.2631,129.923
62190-13-0,COc1ccc(S(N)(=O)=O)cc1C(=O)NC1CN2CCC1CC2,3.2636,184.841
73623-04-8,N=C(NOC(=O)Nc1ccc(Cl)cc1)C(Cl)(Cl)Cl,3.2645,178.882
485-89-2,O=C(O)c1c(O)c(-c2ccccc2)nc2ccccc12,3.2653,143.895
1075-61-2,CC(N)Cc1cccc(O)c1,3.2658,81.941
69353-30-6,CCCOc1ccc(C(=S)NCCN2CCOCC2)cc1,3.2665,166.842
32410-93-8,CCOc1ccc(S(=O)(=O)NCCCN(CC)CC)cc1,3.2671,169.846
101153-56-4,COc1cc(C(=O)N2CCN(c3ccc4ccccc4n3)CC2)cc(OC)c1OC,3.2677,219.846
74038-29-2,O=C(NP(=O)(O)c1ccccc1)c1cc(Cl)ccc1Cl,3.2682,177.391
4394-00-7,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,3.2687,151.914
73664-56-9,COc1cc(/C=N/NC(N)=O)cc(I)c1O,3.2699,179.933
13280-07-4,OCC#CCCl,3.2711,55.714
74037-71-1,c1ccc(-c2cc(CCN3CCOCC3)c(-c3ccccc3)o2)cc1,3.2726,177.862
4171-11-3,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)O1,3.2732,134.902
51641-29-3,Cc1c(NC(=S)Nc2ccccc2)c(=O)n(-c2ccccc2)n1C,3.2742,179.832
73664-60-5,O/N=C/c1cccc(C(F)(F)F)c1,3.275,100.348
111-87-5,CCCCCCCCO,3.2759,68.95
22708-48-1,Nc1c(I)cc(I)c(C(=O)Nc2ccc(CCC(=O)O)cc2)c1I,3.2768,349.9
6490-96-6,O=C(Nc1ccc(Br)cc1)c1cc([N+](=O)[O-])ccc1O,3.2774,177.391
73855-36-4,Cc1cccnc1NC(c1ccccc1)c1ccc2cccnc2c1O,3.278,179.862
66944-66-9,O=C(OCCN1CCN(CCOC(=O)C2CCC2)CC1)C1CCC1,3.2791,177.88
945-49-3,OC(c1ccccc1)C1CCCCC1,3.2794,99.921
987-65-5,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,3.2803,265.902
63908-37-2,CC(C)Cn1c(=O)[nH]c(=O)c2[nH]cnc21,3.2811,108.935
6020-54-8,Nc1nc(N)c(-c2ccccc2)s1,3.2816,99.892
4386-25-8,O=S(=O)(O)c1cc(Cl)cc(/N=N/c2ccc(O)cc2O)c1O,3.2822,179.611
14313-51-0,COc1ccc(NC(=O)OCC#CCI)cc1,3.2827,179.922
73663-91-9,CCOC(=O)/C=C/S(=O)(=O)CC,3.2838,99.901
22496-47-5,CCCCc1cccc(C(C)C)c1O,3.284,99.922
6021-23-4,NCCCCc1cccnc1,3.2846,77.943
32412-08-1,CC(C)Oc1ccc(C(=S)NCCN2CCOCC2)cc1,3.2851,159.849
4553-62-2,CC(C#N)CCC#N,3.2858,55.961
55709-93-8,CCN(CC)CC1=NC(CC)(CC)c2ccccc2O1,3.2861,141.895
24340-12-3,CC(=O)N(Cc1ccccc1)c1c(I)cc(I)c(OCC(=O)O)c1I,3.2865,349.89
133147-09-8,C=CCONC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,3.2871,199.872
34703-49-6,CN1C(C)(C)C=CCC1(C)C,3.2878,78.94
13201-85-9,O=C(Nc1cc(Cl)ccc1Cl)Nc1cc(Cl)ccc1Cl,3.2888,178.924
102395-77-7,c1ccc2c(c1)CCN(C1CC1)C2,3.2893,88.929
3426-89-9,ClP(Cl)Oc1ccccc1,3.29,99.467
23824-29-5,CC(C)CCOC(=O)C1c2ccc(O)cc2C(O)CN1C,3.2913,149.898
134578-92-0,COc1ccc(/C=C/CCCCOc2cccc(OCCCCN3CCCC3=O)c2CCC(=O)O)cc1,3.2923,259.814
74037-72-2,Cc1ccc(C(=O)/C=C(/C(=O)c2ccc(C)cc2)N2CCOCC2)cc1,3.2929,177.866
93968-97-9,CC1(C)C=C(C(=O)NCc2ccncc2)C(C)(C)N1,3.2933,131.906
109438-93-9,CCCCC1(CCN2CCCCC2)C(=O)NC(=O)NC1=O,3.2943,149.902
79506-92-6,COc1cc(SCC(=N)NO)ccc1Cl,3.2953,124.647
23008-85-7,CN1CCOC1c1ccc(Cl)cc1,3.2959,99.694
100700-34-3,CCC(OCCOc1c(I)cc(I)c(N(C)C(C)=O)c1I)C(=O)O,3.2966,339.9
62141-38-2,CNCCC1CCCCC1,3.2973,71.178
14251-32-2,Cn1c(=O)c2[nH]c(NCCN)nc2n(C)c1=O,3.2979,119.933
17591-59-2,Nn1c(Cc2ccccc2)nnc1Cc1ccccc1,3.2983,132.902
3840-18-4,Cc1ccccc1Oc1ccccc1N,3.2994,99.923
37483-80-0,C#CCN(C)C1CCCOc2cc(Cl)ccc21,3.3006,124.675
71933-40-9,CN(C)CCc1cnc(NS(=O)(=O)c2ccc(N)cc2)s1,3.3016,162.82
7409-50-9,CC(C)N(CC(N)=O)C(C)C,3.3017,78.949
2607-31-0,CCN(CC)CCOc1ccc(-c2nc3cc(Cl)ccc3s2)cc1,3.3021,179.599
20358-00-3,Nc1nc2cc(Cl)ccc2s1,3.3026,91.669
87551-98-2,CCCCCCCCCCCC1CC(=O)N2CCCC2C(=O)NC(CO)C(=O)N2CCCC2C(=O)NC(CCCNC(=N)N)C(=O)NC(C(O)C(=O)O)C(=O)NC(CO)C(=O)N2CCC(O)C2C(=O)NC(C(O)C(=O)O)C(=O)O1,3.3034,559.66
402-36-8,O=C=Nc1cccc(S(=O)(=O)F)c1,3.3036,99.906
2851-13-0,CN(C)c1nc2ccccc2[nH]1,3.3043,79.944
23923-66-2,CCOC(=O)c1ccc(NC(=O)CN)cc1,3.3054,109.929
19889-60-2,O=C(CI)Nc1cc(Cl)c(Cl)cc1Cl,3.3063,179.235
73855-52-4,Cc1cc(O)c(C(=O)O)c(O)c1Cl,3.3066,99.709
94374-28-4,CCCN1CCN(CC2CN(/N=C/c3ccc([N+](=O)[O-])o3)C(=O)O2)CC1,3.3075,179.892
3886-90-6,CCCCCCCCCCCCCCCCCC(=O)N(C)C,3.3088,152.885
23132-17-4,CCCCCc1cc(OC(C)=O)c2c(c1)OC(C)(C)C1CCC(C)=CC21,3.309,174.867
22480-28-0,C#CCOC(=O)CCN1CC1,3.3101,74.95
53492-09-4,COC(=O)C1(O)CC23CCOC2CCN2CCc4c(n1c1c(OC)cccc41)C23,3.3103,194.865
67465-04-7,c1ccc(CNc2ccccn2)cc1,3.3111,89.931
51798-45-9,CC(C)CC(NC(=O)NC(C(=O)NC(CCC(N)=O)C(=O)NC(C)C=O)C1CCN=C(N)N1)C(=O)O,3.3118,249.855
102585-88-6,C=CCNC(=O)CCN1CC1,3.3131,74.95
22089-22-1,O=P1(N(CCCl)CCCl)OCCCN1CCCl,3.3141,156.238
1221-56-3,CN(C)/C=N/c1c(I)cc(I)c(CCC(=O)O)c1I,3.3143,289.928
96-76-4,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,3.3146,99.922
90842-75-4,O=C(O)CCCOc1cc(I)c(I)cc1I,3.3152,269.941
51581-15-8,CCCCOC(=O)C(N)c1ccccc1,3.3165,99.929
35195-84-7,COc1ccc(-c2nc(-c3ccccc3)cs2)cc1C(=O)O,3.3172,149.855
102504-32-5,NC1=NN(CCc2ccccc2)CO1,3.3178,91.938
832-66-6,Cc1nc2c(c(=O)n(C)c(=O)n2C)n1C,3.3185,99.94
12772-57-5,CC1CC2OC2/C=C\C=C/C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1,3.319,174.66
14517-78-3,CC(CN)c1c[nH]c2ccc(Cl)cc12,3.3195,99.705
773-23-9,OC(N1CC1)(C(F)(F)F)C(F)(F)F,3.3203,99.971
101171-77-1,ON=C1CCC(CC2CCCCC2)CC1,3.3208,99.926
79691-33-1,Cn1cccc1C=C(C#N)C#N,3.3213,74.947
37959-38-9,c1ccc(-c2cc3n(-c4ccccc4)ccn3c2)cc1,3.3223,122.901
63906-43-4,CN(C)CCOC(=O)COc1ccc2ccccc2c1,3.3227,129.907
73972-65-3,CCCCCCSc1nccnc1C,3.3229,99.892
23417-37-0,Cc1c(Cl)cccc1NC1=NCCO1,3.3236,99.711
3482-77-7,CCN(CC)CCNC(=O)COc1ccc([N+](=O)[O-])cc1,3.3242,139.912
38160-03-1,CCOc1ccc(N2CC(C(=O)N3CCNCC3)CC2=O)cc1,3.3255,149.898
58-46-8,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,3.3256,149.891
102585-03-5,CN1CCC(OC(=O)C2(O)c3ccccc3Oc3ccccc32)CC1,3.3266,159.885
21053-91-8,CCCCCCCCC1C(=O)COC1=O,3.3269,99.93
73909-19-0,Cc1ccc(C(=O)OC(OC(=O)/N=C/C=N/C(=O)O)c2ccc(C)cc2)cc1,3.3272,179.88
13171-25-0,COc1ccc(CN2CCNCC2)c(OC)c1OC,3.3285,124.916
99900-99-9,C=CC(=O)OC(C)OC(=O)CCN1CC1,3.3289,99.938
306-07-0,C#CCN(C)Cc1ccccc1,3.3301,74.399
1799-79-7,Cc1cc2nc(C(F)(F)F)[nH]c2cc1C,3.3308,99.945
36889-17-5,CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(O)C3N)C2O)OCC1(C)O,3.3313,224.873
79-40-3,NC(=S)C(N)=S,3.3317,55.897
102207-55-6,c1ccc(CSCc2cccnc2)cc1,3.3331,99.887
53073-97-5,c1cnc(N2CCN(CC3COc4ccccc4O3)CC2)nc1,3.3333,144.9
2436-04-6,COc1cccc2c(CCN)c[nH]c12,3.3348,87.937
77733-22-3,Cc1ccc(NC2=NCCO2)c2c1CCC2,3.335,99.927
589-16-2,CCc1ccc(N)cc1,3.3353,55.957
73927-12-5,C=CS(=O)(=O)Cc1ccc(Cl)cc1,3.3358,99.683
89-55-4,O=C(O)c1cc(Br)ccc1O,3.3365,99.504
73791-20-5,Cc1cc(N=O)cc(Cl)c1O,3.3368,78.736
134749-25-0,COc1cc2[nH]c(NNc3ccccc3)n/c(=N/Nc3ccccc3)c2cc1OC,3.3375,184.872
100093-45-6,COc1ccc(C=C(C(=O)Nc2ccccc2C(=O)O)C(=O)Nc2ccccc2C(=O)O)cc1OC,3.3384,224.848
526-75-0,Cc1cccc(O)c1C,3.3388,55.957
73791-22-7,Oc1ccc(Cl)cc1C/N=C/CCCC/C=N/Cc1cc(Cl)ccc1O,3.3395,179.447
309-43-3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.3403,108.784
73855-40-0,Oc1c(C(Nc2cccc(C(F)(F)F)c2)c2ccccc2)ccc2cccnc12,3.3407,179.878
15407-87-1,O=C(NNC1CCCCC1)c1ccncc1,3.341,99.931
17140-68-0,CCN(CC)CCn1cnc2c1c(=O)n(C)c(=O)n2C,3.3423,126.921
1186-09-0,CCOP(=O)(OCC)SCC,3.3429,89.92
6493-37-4,CCCCCCCCCCCCSc1nc2c([nH]1)c(=S)n(C)c(=O)n2C,3.3431,179.807
121064-16-2,CC(C)C(C(N)=O)C1=NC(C)(C)Cc2ccccc21,3.344,116.913
78-51-3,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,3.3451,179.895
947-08-0,CCC(C)C1(CC)C(=O)NC(=S)NC1=O,3.3457,102.899
59-52-9,OCC(S)CS,3.346,55.897
22502-27-8,O=C(/C=C(\O)C(F)(F)F)c1cccs1,3.3467,99.914
2867-93-8,COC1CC2C3CCC(C(C)CCCC(C)C)C3(C)CCC2C2(C)CCC3CC312,3.3475,179.856
74663-48-2,CCCc1cccc(C(C)C)c1O,3.348,79.938
7696-78-8,C=C(Cl)CC(CC(=C)Cl)C(=O)NN,3.3485,99.52
4663-89-2,CC(CNC(=O)OCCO)c1ccccc1,3.3488,99.932
283-24-9,C1CC2CCC1CNC2,3.3495,55.958
40399-92-6,O=C(CN1CCOCC1)NC1(Cc2ccccc2)CCCC1,3.3503,134.902
100333-47-9,CNC(=O)O/N=C1\CCCc2sccc21,3.3508,99.901
100311-02-2,CN(C(=O)CC(=O)N(C)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,3.3518,669.8
73941-05-6,N/N=c1/nc[nH]c(N)n1,3.3526,55.974
23779-99-9,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12,3.3536,179.891
16423-68-0,O=C1OC2(c3ccccc31)c1cc(I)c(O)c(I)c1Oc1c2cc(I)c(O)c1I,3.354,369.89
151092-57-8,O=C1CSC(C2=CCN(CC(O)c3cccc([N+](=O)[O-])c3)CC2)=NN1,3.3551,159.865
102433-48-7,CCc1ccc(NC(=O)NCCCl)cc1,3.3555,99.727
9005-49-6,CC(=O)NC1C(O)OC(COS(=O)(=O)O)C(OC2OC(C(=O)O)C(OC3OC(CO)C(OC4OC(C(=O)O)C(O)C(O)C4OS(=O)(=O)O)C(OS(=O)(=O)O)C3NS(=O)(=O)O)C(O)C2OS(=O)(=O)O)C1O,3.356,499.59
19767-89-6,CCN(CC)CC(=O)OCC(=O)c1ccc(O)c(OC)c1,3.3564,129.915
86257-16-1,CCCCCn1c(=O)c2c(ncn2CCCCC(O)CO)n(C)c1=O,3.3567,154.902
55484-62-3,NC1CC(N)C(OC2OC(CO)C(O)C(O)C2N)C(OC2OC(CO)C(O)C2O)C1O,3.3574,199.89
114-49-8,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,3.3582,132.878
275-51-4,c1ccc2cccc-2cc1,3.3596,55.951
19781-62-5,CCC1CCC(O)CC1,3.3598,55.959
7559-54-8,CCCCCCCCCCCCCCCCSS(=O)(=O)c1ccc(C)cc1,3.3604,179.8
148274-76-4,O=C1CCCN1CC(O)CN1CCN(c2ccccc2)CC1,3.3614,131.908
20627-19-4,CCN(CC)CC(=O)Nn1c(C)ccc1C,3.3622,96.934
24699-80-7,CC(C)(C)C1CCC(OCCCS)CC1,3.3625,99.893
97964-56-2,CCCCCN(CCCCC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,3.3634,198.463
15757-54-7,CC1(C)N=C(c2ccccc2)C2C(c3ccc([N+](=O)[O-])cc3)N21,3.3638,132.904
73622-85-2,O=C(N/C=C/NC(=O)OCc1ccc([N+](=O)[O-])cc1)OCc1ccc([N+](=O)[O-])cc1,3.3642,179.892
6064-83-1,O=C(O)c1ccccc1OP(=O)(O)O,3.3655,93.956
62833-47-0,COc1ccc(Cl)cc1S(=O)(=O)NCCN(C)C,3.3662,125.689
134051-89-1,O=P(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(N1CCOCC1)N1CCOCC1,3.3672,249.915
80704-41-2,Cc1ccc(C(=O)NC(CCCN(C)C)c2ccccc2)cc1,3.3681,132.899
102433-43-2,CC1CCCC(C)N1NC(=O)NCCCl,3.3687,99.738
141283-56-9,CS(=O)(=O)Nc1ncc(C(F)(F)F)cc1NC(=O)C(F)(F)F,3.3695,149.907
13997-20-1,CCC1COC(=S)N1,3.3697,55.932
73826-29-6,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)OCC(=O)c1ccc(Cl)cc1,3.3701,179.087
6145-29-5,O=P(O)(O)CP(=O)(O)O,3.3705,74.984
6556-11-2,O=C(OC1C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1,3.3711,344.77
26605-69-6,CC1(C)SC2C(NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2C1C(=O)O,3.372,209.823
5350-26-5,CN(C)C1=C(Cl)C(=O)c2ccccc2C1=O,3.3723,99.733
80704-43-4,CN(C)CCCC(NC(=O)c1ccc(N)cc1)c1ccccc1,3.3728,131.903
49562-04-1,COc1cc2c(c(O)c1OC)CC(=O)CCC2,3.3734,99.931
98402-33-6,Cn1c(=O)c2c(ncn2CC(O)CN(CCO)C2=NCCCC2)n(C)c1=O,3.3739,159.902
5736-49-2,Fc1c(F)c(F)c(C(Br)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,3.3752,179.526
73713-86-7,CCCCCSc1nc2ccccc2s1,3.3755,99.862
607-75-0,CN(C)CCCNC(=O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,3.3762,159.886
36398-81-9,CC(O)CCC(=O)N(CCO)CC1C2CCC(C2)C1C,3.3769,118.917
90800-03-6,CCC(Oc1c(Cl)cc(I)c(Cl)c1I)C(=O)O,3.3775,209.543
4030-36-8,COc1c(O)ccc2c1C13CCN(C)C(C2)C1(O)CCC(=O)C3,3.3777,132.907
16191-84-7,O=S(=O)(CCCl)c1ccc(Cl)cc1,3.3786,99.515
73826-32-1,N#CCCN(CCC#N)Cc1c(O)c(O)c(CN(CCC#N)CCC#N)c2ccccc12,3.3787,179.874
61563-18-6,CC(C)(C)NCC(O)COc1cccc2c1CCN(C=O)C2,3.3791,127.912
101831-84-9,c1ccc2c(CC3CCCCN3CC3CC3)c[nH]c2c1,3.3796,111.912
3529-82-6,O=[N+]([O-])c1cccc(N=C=S)c1,3.3807,74.922
69782-43-0,CC1CCCC(C)N1CCCOC(=O)c1cccnc1,3.3808,114.918
2238-78-0,C=CCC(O)(CCN1CCOCC1)c1ccc(Cl)cc1,3.3811,122.719
1083-48-3,O=[N+]([O-])c1ccc(Cc2ccncc2)cc1,3.3815,88.938
16948-63-3,Nc1cc(Cl)c(Cl)cc1S(N)(=O)=O,3.3822,99.525
102433-40-9,CN(C)c1ccc(NC(=O)NCCCl)cc1,3.3833,99.742
16524-22-4,Cc1cccc(Nc2ccccc2C(=O)O)c1,3.3834,93.93
23450-49-9,O=C1NC(=O)C(=C/C=C/c2ccccc2)C(=O)N1,3.3842,99.932
4791-34-8,CSc1nc2c([nH]1)c(=S)n(C)c(=O)n2C,3.3844,99.877
102516-85-8,Clc1ccc2nc(CNCc3ccccc3)[nH]c2c1,3.385,111.727
1003-78-7,CC1CC(C)S(=O)(=O)C1,3.3856,60.93
73927-07-8,Ic1ccc(Sc2ccc(I)cc2)cc1,3.3863,179.907
54742-81-3,CC(CN(C)C)CN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,3.3875,143.895
101077-26-3,O=[N+]([O-])/C=C/c1cc2c3c(c1)CCCN3CCC2,3.3879,99.929
63252-45-9,CC(N)C(=O)NC(C)(C)Cc1ccc(Cl)cc1,3.3894,103.661
13758-34-4,CSc1ccc2[nH]c3c(c2c1)CCNC3,3.3897,88.903
586-06-1,CC(C)NCC(O)c1cc(O)cc(O)c1,3.3903,85.943
19972-00-0,COc1ccc(CN2CCN(CC(O)Cn3cnc4c3c(=O)n(C)c(=O)n4C)CC2)cc1,3.3907,179.883
73747-55-4,CCCCCCOC(=O)C(C)OC(=O)C(C)O,3.3915,99.937
43043-15-8,CC1OC(n2ccc(NC(=O)c3ccc(N)cc3)nc2=O)CCC1OC1OC(C)C(N(C)C)C(O)C1O,3.3918,209.866
139-85-5,O=Cc1ccc(O)c(O)c1,3.3921,55.963
74039-17-1,CC1(CO)CC2C=CC1C2,3.3924,55.957
19971-99-4,Cn1c(=O)c2c(ncn2CC(O)CN2CCN(CCc3ccccc3)CC2)n(C)c1=O,3.3944,171.886
19961-91-2,C#CCOC(=O)Nc1cccc(OC(=O)NC)c1,3.3949,99.936
1195-50-2,FCCNc1ccccc1,3.3954,55.963
73953-82-9,CCCCCCCCN(CCCCCCCC)C(=O)Oc1cccc(NC(=O)N(C)C)c1,3.3957,179.872
74038-57-6,O=C(O)CCC(=O)/C=C/c1cccc([N+](=O)[O-])c1,3.3966,99.937
134-49-6,CC1NCCOC1c1ccccc1,3.3973,70.947
52073-09-3,COC(=O)c1c(C)ccc(C(C)C)c1OCC(=O)OCCN(C)C,3.3978,134.909
13364-81-3,CSC1(OC(C)=O)C(=O)c2ccccc2C1=O,3.3984,99.902
696-63-9,COc1ccc(S)cc1,3.3986,55.929
101952-46-9,CCN(CC)CCOC(=O)C=C(c1ccccc1)c1ccccc1,3.3992,128.901
5462-97-5,COc1ccc(/C=C2/SC(=S)NC2=O)cc1,3.4002,99.871
7770-47-0,Cn1cc(CCc2ccncc2)c2ccccc21,3.4004,93.926
62401-89-2,CC(CCn1cnc2c1c(=O)n(C)c(=O)n2C)NCC(O)c1ccc(O)cc1,3.4007,153.901
101833-11-8,CC1(O)OC(C(F)(F)F)(C(F)(F)F)CC1=O,3.4016,99.965
101077-30-9,OC1CCN2CCCc3cccc1c32,3.402,74.943
24269-54-3,CCOC(=O)N1CCN(CCNC2CCCCC2)CC1,3.4032,111.925
6327-48-6,O=CNc1cc(Cl)cc(Cl)c1,3.4038,74.584
16536-90-6,COc1ccc2[nH]cc(CCCCN)c2c1,3.4046,85.938
14102-28-4,COC(=O)c1ccc(NC(=O)CN2CCCCC2)cc1O,3.4052,114.924
73806-71-0,CC(C)(Br)C(Br)C(=O)C(Br)C(C)(C)Br,3.4054,178.408
6209-75-2,C#CC1(Cl)CCCCC1,3.406,55.775
99901-05-0,O=C(CCN1CC1)Oc1ccccc1,3.4065,74.947
18354-32-0,CC(N)CSCc1ccccc1,3.4071,70.917
29573-87-3,O=C(CCN1CCN(CCO)CC1)N1c2ccccc2Sc2ccccc21,3.4077,149.863
6466-31-5,Cn1c(=O)c2[nH]c(CCCCCc3nc4c([nH]3)c(=O)n(C)c(=S)n4C)nc2n(C)c1=S,3.408,179.827
74051-47-1,CCOC(=O)C(N)Cc1cc(I)c(O)c(I)c1,3.4085,179.946
55477-27-5,CNc1nc(Cl)c(SC)c(N2CCN(CCO)CC2)n1,3.4088,123.712
483-34-1,COc1cc2c(cc1O)C1Cc3ccc(OC)c(OC)c3CN1CC2,3.4094,132.905
51131-85-2,Cc1c2ccncc2c(C)c2c1[nH]c1ccc(O)cc12,3.4102,101.922
14722-38-4,Cc1cnnc2ccccc12,3.4107,55.958
6493-05-6,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,3.4111,107.932
100482-80-2,O/N=C/CC(O)(C(F)(F)Cl)C(F)(F)Cl,3.4116,99.599
73927-55-6,N#CC(C#N)=C(C#N)c1cccn1Cc1ccccc1,3.4121,99.925
22054-49-5,Oc1ccc(Cl)cc1C1NC(=S)NC1=S,3.4129,99.696
101952-72-1,O=C(OCCSc1ccccc1)c1cccnc1,3.4139,99.898
198767-57-6,O=C1CCCN1CC(O)CNC(c1ccccc1)c1ccccc1,3.4142,124.907
39831-55-5,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,3.4152,225
98402-32-5,Cn1c(=O)c2c(ncn2CC(O)CN(CCO)C2=NCCC2)n(C)c1=O,3.4155,139.915
20013-81-4,CC(C)NCC(O)CNc1ccccc1,3.4156,79.943
1432-75-3,NCCSC(C[N+](=O)[O-])c1ccccc1Cl,3.4162,99.729
13608-25-8,CSc1ccc2[nH]c3c(c2c1)C(C)CNC3,3.4168,88.905
2415-55-6,C=CCN(CC=C)c1nc(N)nc(/N=C/N(C)C)n1,3.4172,99.938
139193-94-5,Cc1cc(/C=C/c2ccc(OCCN(C)C)cc2)on1,3.4181,103.925
100836-55-3,CC(NC(=O)OCCN1CCCC1)c1ccccc1,3.4189,99.929
2873-36-1,CC(C)CC1NC(=O)C2CCCN2C1=O,3.4197,79.947
19733-84-7,OCCN(CCO)CCCc1ccc(COc2ccccc2)cc1,3.4209,124.909
3482-37-9,COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1C(N)CC2,3.4218,129.91
32417-61-1,CN(C)CCCNC(=S)c1ccc(Cl)cc1,3.4228,96.727
5438-74-4,O=C(O)Cc1ccc(Br)c2ccccc12,3.4234,99.575
60959-18-4,Cc1cc(N/C(N)=N\C(=N)N2CCN(C)CC2)no1,3.4238,99.941
2826-30-4,N#CC(C#N)=Cc1ccccc1[N+](=O)[O-],3.4242,74.951
57-41-0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.4244,94.884
2720-76-5,CCCCCCOC(=S)S,3.4251,66.897
5376-34-1,COc1cc2[nH]cc(CCN)c2c(OC)c1OC,3.4253,93.938
34844-44-5,O=C1CCCC1C(O)(C(F)(F)F)C(F)(F)Cl,3.4258,99.783
449-81-0,O=C1OC(c2ccccc2)=N/C1=C\c1ccc(F)cc1,3.4269,99.929
133147-18-9,C=CCON(C)C(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,3.4275,149.903
73728-84-4,CN(C)C(=O)N(C)C(=O)N(C)c1cccc(Cc2cccc(N(C)C(=O)N(C)C(=O)N(C)C)c2)c1,3.4283,179.88
520-72-9,Oc1csc2ccccc12,3.4285,55.93
19961-99-0,CNC(=O)Oc1cccc(NC(=O)OCCOC)c1,3.4286,99.939
24340-26-9,CCCC(=O)N(CC)c1c(I)cc(I)c(OC(CC)C(=O)O)c1I,3.4288,249.926
27589-33-9,NS(=O)(=O)c1cc(-c2nn[nH]n2)c(NCc2cccs2)cc1Cl,3.4293,137.688
87171-21-9,CCC(CC)C1(CC)C(=O)NC(=S)NC1=O,3.4302,89.913
24269-82-7,CC(C)N(CCN1CCN(C(=O)OC2CCCCC2)CC1)C(C)C,3.4305,125.913
27432-21-9,CCC(c1cccnc1)C(C)c1ccc(OC)cc1,3.4317,94.426
52073-13-9,CCOC(=O)c1c(C)ccc(C(C)C)c1OCC(=O)OCCN(C)C,3.4319,129.912
1529-41-5,N#CCc1cccc(Cl)c1,3.4325,55.787
63937-17-7,CC1CCC2N(C1)CC1C(C(O)C(O)C3(O)C1CC14OC5(O)C(O)CCC1(C)C5C(O)C(O)C34)C2(C)O,3.4329,193.873
102207-06-7,O=C(N1CCCCC1)C1(c2ccccc2)CCCCC1,3.4336,99.923
6403-55-0,COc1cc2c3c(c1)CCCN3CCC2,3.434,74.776
16244-15-8,O=C1CCc2c1[nH]c1ccccc21,3.4342,62.952
13995-54-5,CCN(CC)CC(=O)Nc1ccc(C)cc1,3.4346,80.942
62538-80-1,Cc1cnc2n1-c1ccccc1Sc1ccccc1-2,3.4354,96.897
22820-27-5,CN(CCN1CCOCC1)CC(O)COc1ccc(Cl)cc1Cl,3.4364,132.572
101976-55-0,CN(C)c1cccc(NC2=NCCO2)c1,3.4372,74.949
13608-22-5,COc1ccc2[nH]c3c(c2c1)C(C)CNC3,3.4374,78.942
68711-26-2,CCOC(=O)c1sc(/C=C/C2SC(=S)N(CC)C2=O)nc1C,3.4381,129.832
3011-82-3,CCCCCCCC[P](=O)CCCCCCCC,3.4384,99.932
27241-94-7,CCOc1ccc(/C=N/Nc2ccc(Cl)cc2)cc1,3.4389,99.758
751-94-0,CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)/C1=C(/CCC=C(C)C)C(=O)O,3.4392,187.839
3694-49-3,S=C=NCc1ccc(I)cc1,3.4395,99.932
