CAS_Number,SMILES,pLD50,"LD50,mg/kg"
25901-41-1,CC(=O)NCc1c(I)c(NC(=O)CCOCCOCCOCCOCCC(=O)Nc2c(I)c(CNC(C)=O)c(I)c(C(=O)O)c2I)c(I)c(C(=O)O)c1I,2.00923,13996
339-72-0,NC1CONC1=O,2.01512,985.51
16051-77-7,O=[N+]([O-])OC1COC2C(O)COC12,2.02128,1819.09
1197-18-8,NCC1CCC(C(=O)O)CC1,2.02926,1468.73
100-55-0,OCc1cccnc1,2.03794,999.31
127-69-5,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,2.04115,2429.27
126-33-0,O=S1(=O)CCCC1,2.04638,1078.67
26016-99-9,CC1OC1P(=O)(O)O,2.05193,1224.55
35461-29-1,O=C(O)CSCc1ccsc1,2.0573,1647.58
29839-74-5,CC1(C)CC(O)C(C)(C)O1,2.0621,1249.14
1205-30-7,NS(=O)(=O)c1cc(C(=O)O)ccc1Cl,2.07123,1994.25
130535-75-0,CC(O)C1(CC(=O)O)N=C(C(=O)O)/C(=C/CCCO)S1,2.0845,2494.91
758-96-3,CCC(=O)N(C)C,2.09115,819.47
42540-40-9,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(OC=O)c3ccccc3)C2SC1,2.09793,3911.4
538-23-8,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,2.10453,3697.4
99247-33-3,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1,2.11196,2582.43
75808-45-6,CC(C)CC(NC(=S)S)C(=O)O,2.11552,1586.84
78128-80-0,CCCCC1C(=O)COC1=O,2.11918,1186.22
1195-16-0,CC(=O)NC1CCSC1=O,2.12279,1198.68
20520-33-6,CC(C)(C)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.12917,2229.03
756-79-6,COP(C)(=O)OC,2.13369,911.65
3734-22-3,O=C1COC(=O)C1Cc1ccccc1,2.1409,1374.02
25901-40-0,CC(=O)NCc1c(I)c(NC(=O)CCOCCOCCOCCC(=O)Nc2c(I)c(CNC(C)=O)c(I)c(C(=O)O)c2I)c(I)c(C(=O)O)c1I,2.14177,9997.2
554-18-7,O=S(=O)(c1ccc(NC(C(O)C(O)C(O)C(O)CO)S(=O)(=O)O)cc1)c1ccc(NC(C(O)C(O)C(O)C(O)CO)S(=O)(=O)O)cc1,2.14716,5245.5
15826-37-6,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,2.15208,3297.9
74849-93-7,Cc1cc(=O)c(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)c[nH]1,2.15374,4296.3
75-85-4,CCC(C)(C)O,2.15989,609.58
26090-57-3,O=C(CCOCCCOCCC(=O)Nc1c(I)c(CN2CCCC2=O)c(I)c(C(=O)O)c1I)Nc1c(I)c(CN2CCCC2=O)c(I)c(C(=O)O)c1I,2.16635,9597.1
82697-78-7,COc1ccccc1C1NC(=O)CCS1,2.17279,1498.45
4441-30-9,OCCCN1CCOCC1,2.18425,949.4
1241-02-7,BrC(CN(Cc1ccccc1)Cc1ccccc1)c1ccccc1,2.19188,2437.06
75808-41-2,CC(NC(=S)S)C(=O)O,2.19858,1044.44
30743-29-4,CCC(=O)N(CC)c1c(I)c(C(=O)N2CCCC2C(=O)O)c(I)c(N(CC)C(=O)CC)c1I,2.20587,4948.3
65929-17-1,CC1(C)SC2C(NC(=O)C(NC(=O)c3c[nH]c4nc(N5CCN(C=O)CC5)ncc4c3=O)c3ccc(O)cc3)C(=O)N2C1C(=O)O,2.2113,3997
675-20-7,O=C1CCCCN1,2.21807,599.61
38665-10-0,OCC1=CC(NC2CC(CO)C(O)C(O)C2O)C(O)C(O)C1O,2.22447,1998.84
187884-86-2,CC1(C)Cc2ccccc2C(NCC(=O)O)=N1,2.22645,1378.04
1123-25-7,CC1(C(=O)O)CCCCC1,2.22861,839.42
37097-43-1,CCOP(=O)(OCC)N1CCOCC1,2.23477,1299.35
110333-20-5,C=CCOC(=O)CC1(CC(=O)O)OCOC1=O,2.24162,1399.19
20520-34-7,COc1cc(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)cc(OC)c1OC,2.24386,2339.1
584-08-7,O=C(O)O,2.2451,352.61
34737-09-2,CC(O)CNC(=O)c1c(I)c(I)c(C(=O)O)c(I)c1I,2.24864,4099.2
288-13-1,c1cn[nH]c1,2.26014,373.77
82697-75-4,COc1ccc(C2NC(=O)C(C)S2)cc1,2.2697,1198.76
51989-45-8,Cc1ncc(CSP(=O)(O)O)c(CO)c1O,2.27286,1413.88
63867-13-0,CCN(CC)CCCC(=O)O,2.27774,839.46
34418-48-9,Cc1nc(-c2ccccn2)sc1C(=O)O,2.28984,1128.86
141-53-7,O=CO,2.29897,231.121
76057-97-1,CC12C(=O)N(O)C(=O)C1(C)C1CCC2O1,2.3077,1039.35
57-14-7,CN(C)N,2.31217,292.736
82875-44-3,COc1ccc(-c2nc(C)c(C(N)=O)s2)cc1,2.31581,1198.82
51134-97-5,CCCC(=O)NCc1c(I)c(NC(=O)CCOCCOCCOCCC(=O)Nc2c(I)c(CNC(=O)CCC)c(I)c(C(=O)O)c2I)c(I)c(C(=O)O)c1I,2.32016,6897.9
82697-73-2,COc1ccc(C2NC(=O)C(C)S2)cc1OC,2.32449,1198.84
54872-77-4,O=C(O)C(Cc1ccccc1)NC(=S)S,2.32955,1128.53
29820-40-4,CCC(CNC(=O)c1c(I)c(I)c(C(=O)N2CCCC2C(=O)O)c(I)c1I)C(=O)O,2.33544,3998.9
64047-12-7,CC(C)C1(C(C)C)OC(=O)NC1=O,2.33828,849.46
72324-18-6,CC(SC(=O)c1cccs1)C(=O)NCC(=O)O,2.33979,1248.53
12794-09-1,CC1C=CC(C(N)C(=O)O)O1,2.34511,709.57
41849-38-1,COC1(NC(=O)CCCC(N)C(=O)O)C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC21,2.34777,1998.5
680-31-9,CN(C)P(=O)(N(C)C)N(C)C,2.35026,799.62
34200-96-9,CCCC(O)CCC(=O)C1=C(O)CCC1=O,2.35463,999.33
64047-06-9,CC(C)(C)C1(C)OC(=O)NC1=O,2.35843,749.53
660-68-4,CCNCC,2.359,319.78
20977-05-3,CC(=O)OC(C)C(C)C(=O)OCC12C3CC4(C)C(=CCC5C6(C)CCC(OC7OC(C(=O)O)C(OC8OC(CO)C(O)C(O)C8O)C(O)C7OC7OCC(O)C(O)C7O)C(C)(CO)C6CCC54C)C1CC(C)(C)C(O3)C2O,2.36702,4727
554-57-4,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,2.37342,998.84
28646-20-0,CCNC(CC(=O)O)C(=O)N(CC)CC,2.38078,899.44
82875-46-5,CCCNC(=O)c1sc(-c2ccc(OC)cc2)nc1C,2.3838,1198.85
5841-63-4,O=C1NC(=O)C(c2ccccc2)O1,2.38803,724.52
29755-35-9,O=C(O)c1c(I)c(I)c(C(=O)N2CCOCC2)c(I)c1I,2.39142,2999.38
23844-68-0,CN1CC(O)c2cc(O)ccc2C1C(=O)O,2.3972,893.85
98-98-6,O=C(O)c1ccccn1,2.40277,486.69
19014-76-7,Nc1c(I)cc(I)c(CN(CC(=O)O)CC(=O)O)c1I,2.40932,2399.43
82989-25-1,CCCCOC(=O)C(=O)Nc1cccc(-c2nn[nH]n2)c1,2.41174,1120.31
67382-70-1,CC1CC(CCCC(=O)O)CCN1,2.41532,711.52
17455-13-9,C1COCCOCCOCCOCCOCCO1,2.42213,999.39
82875-40-9,CCCNC(=O)c1sc(-c2ccc(OC)c(OC)c2)nc1C,2.42653,1198.9
57-68-1,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,2.42897,1035.63
14663-28-6,Nc1ccc(-c2ccc(/C=N/N3CC(=O)NC3=O)o2)cc1,2.43545,1042.32
6937-16-2,CCOC(=O)CCCN,2.44024,475.71
131147-93-8,Cc1cccc(C)c1NC(=O)CNC(=O)CCC(=O)O,2.44453,999.35
5555-22-6,O=C(O)CC(NCc1ccccc1)C(=O)O,2.44566,799.49
96-20-8,CCC(N)CO,2.45038,315.809
524-36-7,Cc1ncc(CO)c(CN)c1O,2.45496,589.63
695-53-4,CC1(C)OC(=O)NC1=O,2.45776,449.75
59751-35-8,CO/C(=C\c1ccc(O)cc1)C(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CCCC(N)C(=O)O)(OC)C2SC1,2.46209,1998.51
109-73-9,CCCCN,2.46597,249.965
96593-33-8,CC1(C)SC2C(NC(=O)C(NC(=O)c3ccc(/C=C/c4ccccn4)[nH]c3=O)c3ccc(O)cc3)C(=O)N2C1C(=O)O,2.46955,1998.42
133-65-3,O=S(=O)(c1ccc(NC(CC(c2ccccc2)S(=O)(=O)O)S(=O)(=O)O)cc1)c1ccc(NC(CC(c2ccccc2)S(=O)(=O)O)S(=O)(=O)O)cc1,2.47439,2697.06
63094-28-0,O=C(O)c1ccc2nc3ccccc3c(=O)n2c1,2.47752,799.45
63234-70-8,NN1CCCCC1,2.4822,329.79
27025-41-8,NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,2.48618,1998.41
65897-55-4,CC1(C)SC2C(NC(=O)C(NC(=O)C3CNC4NC(N5CCCC5)NCC4C3=O)c3ccc(O)cc3)C(=O)N2C1C(=O)O,2.48835,1998.49
15396-31-3,CS(=O)(=O)CC1CCCO1,2.49117,529.43
302-17-0,OC(O)C(Cl)(Cl)Cl,2.49427,525.25
152-47-6,COc1nccnc1NS(=O)(=O)c1ccc(N)cc1,2.49679,892.22
35306-78-6,CCCC1C(=O)N2C(N(C)C)=Nc3cc(O)c(C)cc3N2C1=O,2.50018,999.34
3731-51-9,NCc1ccccn1,2.50252,339.76
25903-31-5,CCCC(=O)NCc1c(I)c(NC(=O)CCCCCCCC(=O)Nc2c(I)c(CNC(=O)CCC)c(I)c(C(=O)O)c2I)c(I)c(C(=O)O)c1I,2.50645,4298.7
597-07-9,COP(=O)(OC)N(C)C,2.51293,469.81
